ID,Year,Month,Day,Lunar_Year,Lunar_Month,Lunar_Day,Holiday,Totall_Holiday,Temperature_Up,Temperature_Down,Weather,visitor_count
387,2012,2,2,2012,1,11,0,0,6,-4,4.2,1534
388,2012,2,3,2012,1,12,0,0,7,-3,1,1660
389,2012,2,4,2012,1,13,1,2,8,-3,1,1634
390,2012,2,5,2012,1,14,2,2,11,-2,1,1169
391,2012,2,6,2012,1,15,0,0,13,2,2,836
392,2012,2,7,2012,1,16,0,0,10,1,2,818
393,2012,2,8,2012,1,17,0,0,8,-1,2.4,1070
394,2012,2,9,2012,1,18,0,0,6,-1,5.6,1262
395,2012,2,10,2012,1,19,0,0,3,-2,3.2,22
396,2012,2,11,2012,1,20,1,2,7,-3,2.1,1527
397,2012,2,12,2012,1,21,2,2,5,-2,2.1,1077
398,2012,2,13,2012,1,22,0,0,8,-1,2,1171
399,2012,2,14,2012,1,23,0,0,7,1,2,2185
400,2012,2,15,2012,1,24,0,0,5,1,3.2,1301
401,2012,2,16,2012,1,25,0,0,6,-1,5.4,1331
402,2012,2,17,2012,1,26,0,0,5,-1,5,1407
403,2012,2,18,2012,1,27,1,2,6,-1,4.2,2130
404,2012,2,19,2012,1,28,2,2,8,-3,1,1267
405,2012,2,20,2012,1,29,0,0,8,2,2,1206
406,2012,2,21,2012,1,30,0,0,5,0,2,1069
407,2012,2,22,2012,2,1,0,0,14,2,1.2,1346
408,2012,2,23,2012,2,2,0,0,14,2,1.2,1420
409,2012,2,24,2012,2,3,0,0,15,4,1,2802
410,2012,2,25,2012,2,4,1,2,6,1,2,2576
411,2012,2,26,2012,2,5,2,2,5,0,4,1746
412,2012,2,27,2012,2,6,0,0,6,1,2,1254
413,2012,2,28,2012,2,7,0,0,11,1,2.4,1813
414,2012,2,29,2012,2,8,0,0,6,0,4,1751
415,2012,3,1,2012,2,9,0,0,9,1,2.4,2320
416,2012,3,2,2012,2,10,0,0,10,3,2.5,4714
417,2012,3,3,2012,2,11,1,2,11,3,2,3718
418,2012,3,4,2012,2,12,2,2,9,2,2,3117
419,2012,3,5,2012,2,13,0,0,10,3,2,1861
420,2012,3,6,2012,2,14,0,0,8,3,4.2,2514
421,2012,3,7,2012,2,15,0,0,9,3,4,2650
422,2012,3,8,2012,2,16,0,0,9,2,4,8283
423,2012,3,9,2012,2,17,0,0,6,1,5,4795
424,2012,3,10,2012,2,18,1,2,10,3,2,5214
425,2012,3,11,2012,2,19,2,2,12,3,2,3519
426,2012,3,12,2012,2,20,0,0,14,4,2,3549
427,2012,3,13,2012,2,21,0,0,11,3,2,3628
428,2012,3,14,2012,2,22,0,0,17,6,2,3450
429,2012,3,15,2012,2,23,0,0,9,6,4.5,9563
430,2012,3,16,2012,2,24,0,0,9,5,4.2,4509
431,2012,3,17,2012,2,25,1,2,14,3,2,7673
432,2012,3,18,2012,2,26,2,2,24,5,1,5290
433,2012,3,19,2012,2,27,0,0,21,6,1.2,3327
434,2012,3,20,2012,2,28,0,0,23,8,2,4436
435,2012,3,21,2012,2,29,0,0,20,7,2.5,6378
436,2012,3,22,2012,3,1,0,0,10,4,5,5126
437,2012,3,23,2012,3,2,0,0,10,3,5.2,5383
438,2012,3,24,2012,3,3,1,2,15,2,2,9338
439,2012,3,25,2012,3,4,2,2,15,4,2,7340
440,2012,3,26,2012,3,5,0,0,17,5,2,5729
441,2012,3,27,2012,3,6,0,0,21,9,1.5,8637
442,2012,3,28,2012,3,7,0,0,18,9,4.6,10697
443,2012,3,29,2012,3,8,0,0,15,7,5,8727
444,2012,3,30,2012,3,9,0,0,16,6,2,9761
445,2012,3,31,2012,3,10,0,0,16,4,1,4686
446,2012,4,1,2012,3,11,0,0,19,9,4,4384
447,2012,4,2,2012,3,12,1,3,20,8,4,6649
448,2012,4,3,2012,3,13,2,3,20,8,4,15081
449,2012,4,4,2012,3,14,3,3,20,8,4,6122
450,2012,4,5,2012,3,15,0,0,21,7,4,5096
451,2012,4,6,2012,3,16,0,0,20,8,4,4794
452,2012,4,7,2012,3,17,1,2,20,8,4,5486
453,2012,4,8,2012,3,18,2,2,19,9,4,6351
